school,clean_name,clean_city,clean_state,category
"Grosse Pointe Academy, MI","Grosse Pointe Academy",NULL,MI,high_school
Idabel,NULL,NULL,NULL,high_school
Fayetteville,NULL,NULL,NULL,high_school
"Shiloh Christian",NULL,NULL,NULL,high_school
"NMH, MA",NMH,NULL,MA,high_school
"Boswell, TX",Boswell,NULL,TX,high_school
"RJ Reynolds",NULL,NULL,NULL,high_school
TPLS,NULL,NULL,NULL,high_school
"East Chapel Hill",NULL,NULL,NULL,high_school
Lakeridge,NULL,NULL,NULL,high_school
"PATRICK Henry",NULL,NULL,NULL,high_school
"Chelsea, MI",Chelsea,NULL,MI,high_school
"Toledo Start, OH","Toledo Start",NULL,OH,high_school
"Regis Jesuit",NULL,NULL,NULL,high_school
Independence,NULL,NULL,NULL,high_school
"Santiago, CA",Santiago,NULL,CA,high_school
Carondelet,NULL,NULL,NULL,high_school
"New Kent",NULL,NULL,NULL,high_school
"Bullitt East",NULL,NULL,NULL,high_school
"Calloway County",NULL,NULL,NULL,high_school
"Calloway County, KY","Calloway County",NULL,KY,high_school
"Glenbrook South",NULL,NULL,NULL,high_school
"Cape Fear, NC","Cape Fear",NULL,NC,high_school
Cooper,NULL,NULL,NULL,high_school
"Kalamazoo Central",NULL,NULL,NULL,high_school
"South Lyon East",NULL,NULL,NULL,high_school
"Grand Rapids Catholic Central",NULL,NULL,NULL,high_school
"Ft. Gibson, OK","Ft. Gibson",NULL,OK,high_school
Carroll,NULL,NULL,NULL,high_school
"Noblesville, IN",Noblesville,NULL,IN,high_school
"Grand Rapids Christian",NULL,NULL,NULL,high_school
"Meade County",NULL,NULL,NULL,high_school
"McCracken County",NULL,NULL,NULL,high_school
"CAMPBELL County",NULL,NULL,NULL,high_school
Ashland,NULL,NULL,NULL,high_school
"Seminaries Saint Francois",NULL,NULL,NULL,high_school
"George Rogers Clark, KY","George Rogers Clark",NULL,KY,high_school
"St. Thomas Aquinas, FL","St. Thomas Aquinas",NULL,FL,high_school
"St Francis",NULL,NULL,NULL,high_school
"Sage Hill",NULL,NULL,NULL,high_school
"Athens Drive",NULL,NULL,NULL,high_school
"Home School",NULL,NULL,NULL,high_school
"Beebe, AR",Beebe,NULL,AR,high_school
"Manchester Township, NJ","Manchester Township",NULL,NJ,high_school
"Hilliard Davidson",NULL,NULL,NULL,high_school
Chanhassen,NULL,NULL,NULL,high_school
"Gill St Bernards",NULL,NULL,NULL,high_school
"Olentangy Liberty",NULL,NULL,NULL,high_school
"Saint Viator",NULL,NULL,NULL,high_school
Morristown,NULL,NULL,NULL,high_school
"Shawnee Mission East",NULL,NULL,NULL,high_school
"Saint Thomas Aquinas",NULL,NULL,NULL,high_school
"Rock Bridge, MO","Rock Bridge",NULL,MO,high_school
"Our Lady of Lourdes",NULL,NULL,NULL,high_school
"South Laurel, KY","South Laurel",NULL,KY,high_school
"Wilmot Union, WI","Wilmot Union",NULL,WI,high_school
"Fremd, IL",Fremd,NULL,IL,high_school
"Newton North",NULL,NULL,NULL,high_school
"Dayton Early College Academy",NULL,NULL,NULL,high_school
"St Joseph, CA","St Joseph",NULL,CA,high_school
"Cranbrook Kingswood, MI","Cranbrook Kingswood",NULL,MI,high_school
"Holy Cross",NULL,NULL,NULL,high_school
"Lincoln-Way East, IL","Lincoln-Way East",NULL,IL,high_school
"Blair Academy, NJ","Blair Academy",NULL,NJ,high_school
"McDonogh, MD",McDonogh,NULL,MD,high_school
"Maret School",NULL,NULL,NULL,high_school
"St Paul VI Catholic, VA","St Paul VI Catholic",NULL,VA,high_school
"Harry S Truman",NULL,NULL,NULL,high_school
"John Burroughs",NULL,NULL,NULL,high_school
"Lakeville South, MN","Lakeville South",NULL,MN,high_school
Royalton,NULL,NULL,NULL,high_school
"Emma Willard School",NULL,NULL,NULL,high_school
"Minnetonka, MN",Minnetonka,NULL,MN,high_school
"St. John Vianney, NJ","St. John Vianney",NULL,NJ,high_school
"Applewood Heights",NULL,NULL,NULL,high_school
Fulton,NULL,NULL,NULL,high_school
"Wasilla, AK",Wasilla,NULL,AK,high_school
Benton,NULL,NULL,NULL,high_school
Dobyns-Bennett,NULL,NULL,NULL,high_school
Conway,NULL,NULL,NULL,high_school
"Coffee County",NULL,NULL,NULL,high_school
"Palm Bay, FL","Palm Bay",NULL,FL,high_school
"Willow Spring",NULL,NULL,NULL,high_school
"North Raleigh Christian, NC","North Raleigh Christian",NULL,NC,high_school
"McMinn Central",NULL,NULL,NULL,high_school
"Cumberland Valley, PA","Cumberland Valley",NULL,PA,high_school
"Bradley Central, TN","Bradley Central",NULL,TN,high_school
"Upper Dublin, PA","Upper Dublin",NULL,PA,high_school
"Perkiomen School",NULL,NULL,NULL,high_school
"Noble & Greenough",NULL,NULL,NULL,high_school
"ES Saint Laurent",NULL,NULL,NULL,high_school
Blacksburg,NULL,NULL,NULL,high_school
"Liberty Christian, VA","Liberty Christian",NULL,VA,high_school
"Cardinal Mooney, FL","Cardinal Mooney",NULL,FL,high_school
"Verona Area, WI","Verona Area",NULL,WI,high_school
"Waupun Jr-Sr, WI","Waupun Jr-Sr",NULL,WI,high_school
Hortonville,NULL,NULL,NULL,high_school
MHLT,NULL,NULL,NULL,high_school
"Knoxville Catholic",NULL,NULL,NULL,high_school
"Flint Powers Catholic, MI","Flint Powers Catholic",NULL,MI,high_school
"Holy Innocents Episcopal School",NULL,NULL,NULL,high_school
"USJ, TN",USJ,NULL,TN,high_school
"FD Reitz, IN","FD Reitz",NULL,IN,high_school
"Westerville South, OH","Westerville South",NULL,OH,high_school
"HEA, MI",HEA,NULL,MI,high_school
"Belleville, MI",Belleville,NULL,MI,high_school
