id,school_name,city,state
595,"Judson, TX","San Antonio",TX
596,"Pasadena Memorial, TX",Pasadena,TX
597,Leander,,TX
598,"Cinco Ranch",Katy,TX
599,Fredericksburg,Fredricksburg,TX
600,Fredricksburg,Fredricksburg,TX
601,"Dripping Springs",Houston,TX
602,Lytle,"San Antonio",TX
603,"West Memorial",Houston,TX
604,McNair,Houston,TX
605,"Marine D Jones",Humble,TX
606,Pershing,Houston,TX
607,"GEORGE Washington",Charleston,WV
608,"Louis Brandeis, TX","San Antonio",TX
609,"Western Oaks MS",Bethany,OK
610,Uniondale,Uniondale,NY
611,"South Grand Prairie, TX",,TX
612,"Putnam City West, OK",Langston,OK
613,"Grind Prep, OK",Ada,OK
614,"Bishop Kearney",Brooklyn,NY
615,"Bradford Christian Academy",Haverhill,MA
616,"Copper MS","Powder Springs",GA
617,"Cinco Ranch, TX",Katy,TX
618,"Sacred Heart, KY",Shelbyville,KY
619,"HavenView MS",Memphis,TN
620,"Carrollwood Day School","Wesley Chapel",FL
621,"Andrew Lewis MS",Salem,VA
622,"Dutch Fork ME",Columbia,SC
623,"Boyd County, KY",Catlettsburg,KY
624,"Crestwood Prep, ONT","Toronto Ontario Canada",Country
625,"WSCN, NC","Fort Mill",SC
626,Ryle,Union,KY
627,"Crestwood Prep","Scarborough Ontario Canada",
628,"Red Bank Catholic, NJ",Barnegat,NJ
629,"Incarnate Word Academy","St Louis",MO
630,Westridge,Austin,TX
631,"Ryle, KY",Florence,KY
632,"Miami Country Day, FL",Miami,FL
633,"Miami Country Day",Miami,FL
634,"Casady, OK",,IL
635,"St. Teresa's Academy, MO",,MO
636,"Russell, KY",Ashland,KY
637,"Elk Grove Charter School","Elk Grove",CA
638,"Garfield, WA",Seattle,WA
639,"Windward School, CA","Los Angeles",CA
640,"Bishop Alemany","North Hollywood",CA
641,Lynwood,Lynwood,CA
642,"Centennial, NV","Las Vegas",NV
643,"Etiwanda, CA","Moreno Valley",CA
644,"Xavier College Prep",,CA
645,"Spring Valley",Henderson,NV
646,"Desert Vista, AZ",Phoenix,AZ
647,"Etiwanda, CA",Rialto,CA
648,Frontier,Bakersfield,CA
649,"Liberty, CA",Bakersfield,CA
650,"Mater Dei, CA",Orange,CA
651,"St Anthony",Lakewood,CA
652,"Key MS",Springfield,VA
653,"Connelly School, MD",Potomac,MD
654,"Lincoln Community, IL",Lincoln,IL
655,"James River, VA",Midlothian,VA
656,"Ben Franklin MS",Ridgewood,NJ
657,"Miami Country Day",Miramar,FL
658,Minnetonka,Wayzata,MN
659,"Purcell Marian, OH",Cincinnati,OH
660,"Winton Woods",Cincinnati,OH
661,"Bethany, OK",Rowlett,TX
662,"Tabor Academy, MA",Wrentham,MA
663,"Sierra Canyon","Los Angeles",CA
664,"Midwest City","Oklahoma City",OK
665,"Faith Family, TX",Duncanville,TX
666,"North Bend",Omaha,NE
667,"Blanche Ely","Oakland Park",FL
668,"Camden, SC",Rembert,SC
669,"Augusta CHRISTIAN School",Augusta,GA
670,"Mater Dei, CA","LaDreda Ranch",CA
671,Buna,Buna,TX
672,"Blue Springs South, MO",,MO
673,"Coeur d'Alene, ID","Liberty Lake",WA
674,"Rutgers Prep, NJ",Somerset,NJ
675,"Blanche Ely","Lake Worrh",FL
676,"Lake Highland Prep, FL",Orlando,FL
677,"Christopher, IL",Christopher,IL
678,"Calvary Day School",Savannah,GA
679,Duncanville,,
680,"Westtown School, PA",Brooklyn,NY
681,Watauga,Boone,NC
682,"John Burroughs School",,MO
683,Germantown,Memphis,TN
684,"McKenzie MS",,TN
685,"Lutheran Saint Charles, MO","Lutheran St. Charles, ",MO
686,"Christian Academy",,KY
687,"Saint Theresa",,VA
688,"Carver MS",,OK
689,"Ankeny Centennial",Ankeny,IA
690,"IMG Academy, FL",,MS
691,Sumter,Sumter,SC
692,"Long Island Lutheran, NY","Valley Stream",NY
693,"Paisley IB Magnet",Winston-Salem,NC
694,"Solano MS",Vallejo,CA
695,"Golden West MS",Fairfield,CA
696,"Hyde Park",,NY
697,Hotchkiss,"Floral Park",NY
698,"Nazareth Regional","Staten Island",NY
699,"Millenium, AZ",Surprise,AZ
700,"Wake Forest","Wake Forest",NC
701,"Shabach, MD","Indian Head",MD
702,"Broken Arrow, OK",Tulsa,OK
703,"Heathwood Hall Episcopal",Orangeburg,SC
704,"MYERS Park",Charlotte,NC
